shopId,productName,description,brand,category,price
1,블루투스 이어폰 노이즈캔슬링,액티브 노이즈캔슬링 무선 이어폰,소니,전자기기,159000
1,블루투스 헤드폰 오버이어,프리미엄 무선 헤드폰,보스,전자기기,380000
1,삼성 갤럭시탭 S9,11인치 AMOLED 태블릿 256GB,삼성,전자기기,890000
1,삼성 갤럭시탭 A9,10.5인치 기본형 태블릿,삼성,전자기기,370000
2,에어팟 호환 무선이어폰,아이폰 호환 무선 블루투스 이어폰,앤커,전자기기,45000
2,갤럭시 버즈2 프로,삼성 무선 이어버즈,삼성,전자기기,179000
2,무선 이어폰 방수,IPX5 방수 스포츠 무선이어폰,QCY,전자기기,35000
2,블루투스 스피커 방수,야외용 방수 블루투스 스피커,JBL,전자기기,89000
3,무선 키보드 블루투스,멀티페어링 블루투스 키보드,로지텍,전자기기,89000
3,블루투스 마우스,무소음 블루투스 마우스,로지텍,전자기기,65000
3,태블릿 거치대,갤럭시탭 아이패드 호환 거치대,기타,전자기기,25000
